establecim,tecnologia,provincia,departamento,paraje,pueblo_originario,geom,geojson
"E.P. N 31,Fotovoltaico,BUENOS AIRES,AZUL,,No,0101000020E61000004BC8073D9BB54DC0C1A8A44E403B42C0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.4188,-36.4629]}"""
"E.P. N 34,Fotovoltaico,BUENOS AIRES,AZUL,,No,0101000020E610000039454772F9B74DC00F0BB5A6792742C0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.4373,-36.3084]}"""
"E.P. N 4,Fotovoltaico,BUENOS AIRES,AZUL,,No,0101000020E6100000E63FA4DFBEAE4DC0705F07CE193942C0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.3652,-36.4461]}"""
"E.P.B. 29 CARMEN BORDERA,Fotovoltaico,BUENOS AIRES,AZUL,,No,0101000020E6100000A0EE8F3947AB4DC077920077514A42C0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.33811111,-36.58061111]}"""
",Fotovoltaico,BUENOS AIRES,LAPRIDA,Laprida,No,0101000020E6100000C24EB16A10624EC0E96514CB2DA342C0,""{""""type"""":""""Point"""",""""coordinates"""":[-60.766126,-37.274835]}"""
",Fotovoltaico,BUENOS AIRES,GENERAL LA MADRID,La Espanola,No,0101000020E6100000371AC05B20894EC07AC7293A92B342C0,""{""""type"""":""""Point"""",""""coordinates"""":[-61.0713,-37.4029]}"""
",Fotovoltaico,BUENOS AIRES,GENERAL LA MADRID,General La Madrid,No,0101000020E610000085EB51B81E894EC08541994693B342C0,""{""""type"""":""""Point"""",""""coordinates"""":[-61.07125,-37.402932]}"""
"E.P.B. N 16 Paula Albarracin De Sarmiento,Fotovoltaico,BUENOS AIRES,GENERAL LA MADRID,,No,0101000020E6100000371AC05B20894EC07AC7293A92B342C0,""{""""type"""":""""Point"""",""""coordinates"""":[-61.0713,-37.4029]}"""
"E.P.B. / J.I.R.M.M. 20 / 4 GENERAL NICOLAS LEVALLE,Fotovoltaico,BUENOS AIRES,GENERAL LA MADRID,,No,0101000020E61000008195438B6C934EC0A4449E66F9C842C0,""{""""type"""":""""Point"""",""""coordinates"""":[-61.15175,-37.57011111]}"""
"E.P.B. / J.I.R.M.M. 19 / 7 SARGENTO JUAN B. CABRAL,Fotovoltaico,BUENOS AIRES,GENERAL LA MADRID,,No,0101000020E6100000B121CD925FC84EC099C5383D77C442C0,""{""""type"""":""""Point"""",""""coordinates"""":[-61.56541667,-37.53488889]}"""
",Fotovoltaico,BUENOS AIRES,LAPRIDA,Republica,No,0101000020E610000099BB96900F624EC06C787AA52CA342C0,""{""""type"""":""""Point"""",""""coordinates"""":[-60.7661,-37.2748]}"""
",Fotovoltaico,BUENOS AIRES,LAPRIDA,Santa Elena,No,0101000020E61000006891ED7C3F4D4EC096B20C71ACAB42C0,""{""""type"""":""""Point"""",""""coordinates"""":[-60.6035,-37.3412]}"""
",Fotovoltaico,BUENOS AIRES,LAPRIDA,Laprida,No,0101000020E6100000FDDAFAE93F4D4EC0367689EAADAB42C0,""{""""type"""":""""Point"""",""""coordinates"""":[-60.603513,-37.341245]}"""
"E.P. N 12 Cordillera De Los Andes,Fotovoltaico,BUENOS AIRES,LAPRIDA,,No,0101000020E610000099BB96900F624EC06C787AA52CA342C0,""{""""type"""":""""Point"""",""""coordinates"""":[-60.7661,-37.2748]}"""
"E.P. N 22 Granaderos San Martin,Fotovoltaico,BUENOS AIRES,LAPRIDA,,No,0101000020E61000006891ED7C3F4D4EC096B20C71ACAB42C0,""{""""type"""":""""Point"""",""""coordinates"""":[-60.6035,-37.3412]}"""
"E.P. N 22 Granaderos San Martin,Fotovoltaico,BUENOS AIRES,LAPRIDA,,No,0101000020E61000006891ED7C3F4D4EC096B20C71ACAB42C0,""{""""type"""":""""Point"""",""""coordinates"""":[-60.6035,-37.3412]}"""
"E.P.B. / J.I.R.M.M. 20 / 2 ARMADA ARGENTINA,Fotovoltaico,BUENOS AIRES,LAPRIDA,,No,0101000020E610000070620632546E4EC0C6CF1474DAE842C0,""{""""type"""":""""Point"""",""""coordinates"""":[-60.86194444,-37.81916667]}"""
"E.P.B. / J.I.R.M.M. 17 / 5 ALFONSINA STORNI,Fotovoltaico,BUENOS AIRES,LAPRIDA,,No,0101000020E61000005CBB6199067B4EC0383103192AC342C0,""{""""type"""":""""Point"""",""""coordinates"""":[-60.96113889,-37.52472222]}"""
"E.P.B. / J.I.R.M.M. 18 / 6 GABRIELA MISTRAL,Fotovoltaico,BUENOS AIRES,LAPRIDA,,No,0101000020E6100000CC7C495B43704EC04B882440EEB942C0,""{""""type"""":""""Point"""",""""coordinates"""":[-60.87705556,-37.45258333]}"""
"E.P.B. / J.I.R.M.M. 13 / 2 REMEDIOS ESCALADA DE SAN MARTIN,Fotovoltaico,BUENOS AIRES,GENERAL ALVEAR,,No,0101000020E6100000AFEFA23359D84DC06E6AC10786EF41C0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.69022222,-35.87127778]}"""
"E.P. N 5,Fotovoltaico,BUENOS AIRES,GENERAL LAVALLE,,No,0101000020E6100000B35E0CE544EF4FC0AA66D65240C239C0,""{""""type"""":""""Point"""",""""coordinates"""":[-63.86929,-25.758794]}"""
"E.P. N 26,Fotovoltaico,BUENOS AIRES,GENERAL ALVEAR,,No,0101000020E6100000F0A65B7688EF4FC03318231285C239C0,""{""""type"""":""""Point"""",""""coordinates"""":[-63.871352,-25.759843]}"""
"E.P.B. / J.I.R.M.M. 48 / 3 GENERAL JULIO ARGENTINO ROCA,Fotovoltaico,BUENOS AIRES,AZUL,,No,0101000020E6100000EFD365EF14E44DC0F8274402BE3542C0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.78188889,-36.41986111]}"""
",Fotovoltaico,BUENOS AIRES,LAS FLORES,Las Flores,No,0101000020E61000001EBDA793E8C24DC0C174189BEFFD41C0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.52272268,-35.98387469]}"""
"E.P. N 24,Fotovoltaico,BUENOS AIRES,LAS FLORES,,No,0101000020E610000042CF66D5E7C24DC06744696FF0FD41C0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.5227,-35.9839]}"""
"E.P.B. 39 MARIA LUISA MOLINARI,Fotovoltaico,BUENOS AIRES,LAS FLORES,,No,0101000020E6100000105839B4C8CA4DC0DC4902DC45F141C0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.58425,-35.88494444]}"""
",Fotovoltaico,BUENOS AIRES,AZUL,Las Rosas - Cuartel XII,No,0101000020E6100000FCA9F1D24DBA4DC018265305A37242C0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.4555,-36.8956]}"""
",Fotovoltaico,BUENOS AIRES,AZUL,Pje. La Sofia - Cuartel XVI,No,0101000020E6100000575BB1BFECBE4DC0AE47E17A145642C0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.4916,-36.6725]}"""
",Fotovoltaico,BUENOS AIRES,AZUL,San Pedro - Cuartel VXIII,No,0101000020E610000029CB10C7BAD04DC0B515FBCBEE3142C0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.6307,-36.3901]}"""
",Fotovoltaico,BUENOS AIRES,AZUL,Azul,No,0101000020E610000080EECB99EDBE4DC03E0801F9125642C0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.491626,-36.672454]}"""
",Fotovoltaico,BUENOS AIRES,AZUL,Azul,No,0101000020E6100000E21E4B1FBAD04DC0C780ECF5EE3142C0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.63068,-36.390105]}"""
",Fotovoltaico,BUENOS AIRES,AZUL,Azul,No,0101000020E6100000B37C5D86FFD24DC019E25817B75F42C0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.648423,-36.747775]}"""
",Fotovoltaico,BUENOS AIRES,AZUL,Azul,No,0101000020E61000005038BBB54CBA4DC0A7B228ECA27242C0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.455466,-36.895597]}"""
"E.P. N 41,Fotovoltaico,BUENOS AIRES,AZUL,,No,0101000020E6100000FCA9F1D24DBA4DC018265305A37242C0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.4555,-36.8956]}"""
"E.P. N 50,Fotovoltaico,BUENOS AIRES,AZUL,,No,0101000020E6100000575BB1BFECBE4DC0AE47E17A145642C0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.4916,-36.6725]}"""
"E.P. N 59,Fotovoltaico,BUENOS AIRES,AZUL,,No,0101000020E610000029CB10C7BAD04DC0B515FBCBEE3142C0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.6307,-36.3901]}"""
"E.P. N 39,Fotovoltaico,BUENOS AIRES,AZUL,,No,0101000020E6100000FB5C6DC5FED24DC072F90FE9B75F42C0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.6484,-36.7478]}"""
"E.P.B. (Escuela Piloto) 44 SAN JOSE,Fotovoltaico,BUENOS AIRES,AZUL,,No,0101000020E610000060E5D022DBC54DC008AC1C5A642742C0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.54575,-36.30775]}"""
"E.P.B. / J.I.R.M.M. 38 / 15 ALBERTO CELESTINO RIBET,Fotovoltaico,BUENOS AIRES,AZUL,,No,0101000020E61000000A2FE2B7F8BF4DC0626896806F7A42C0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.49977778,-36.95652778]}"""
",Fotovoltaico,CÓRDOBA,RIO SECO,La Barranca,No,0101000020E610000086C954C1A8DC4FC024287E8CB9AB3DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-63.7239,-29.6708]}"""
"Juan Xxiii,Fotovoltaico,CÓRDOBA,RIO SECO,,No,0101000020E610000086C954C1A8DC4FC024287E8CB9AB3DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-63.7239,-29.6708]}"""
",Fotovoltaico,CÓRDOBA,RIO SECO,Pozo del Simbol,No,0101000020E6100000C2172653058B4FC0431CEBE236DA3DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-63.0861,-29.8524]}"""
"Provincia De Santa Cruz,Fotovoltaico,CÓRDOBA,RIO SECO,,No,0101000020E6100000C2172653058B4FC0431CEBE236DA3DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-63.0861,-29.8524]}"""
",Fotovoltaico,CÓRDOBA,RIO SECO,Salto Norte,No,0101000020E61000002D599919CB864FC099B923106D043EC0,""{""""type"""":""""Point"""",""""coordinates"""":[-63.05307312,-30.01728917]}"""
"Paula Albarracin,Fotovoltaico,CÓRDOBA,TERCERO ARRIBA,,No,0101000020E61000002D599919CB864FC099B923106D043EC0,""{""""type"""":""""Point"""",""""coordinates"""":[-63.05307312,-30.01728917]}"""
",Fotovoltaico,CÓRDOBA,RIO SECO,Campo Grande,No,0101000020E610000004560E2DB2C54FC094F6065F980C3EC0,""{""""type"""":""""Point"""",""""coordinates"""":[-63.5445,-30.0492]}"""
"Maria Eva Barizone,Fotovoltaico,CÓRDOBA,RIO SECO,,No,0101000020E610000004560E2DB2C54FC094F6065F980C3EC0,""{""""type"""":""""Point"""",""""coordinates"""":[-63.5445,-30.0492]}"""
",Fotovoltaico,CÓRDOBA,RIO SECO,Los Eucaliptos,No,0101000020E61000001556099A3F774FC032BF8166631D3EC0,""{""""type"""":""""Point"""",""""coordinates"""":[-62.93162847,-30.11479798]}"""
"Granadero Marquez,Fotovoltaico,CÓRDOBA,RIO SECO,,No,0101000020E61000001556099A3F774FC032BF8166631D3EC0,""{""""type"""":""""Point"""",""""coordinates"""":[-62.93162847,-30.11479798]}"""
",Fotovoltaico,CÓRDOBA,TULUMBA,Los Pozos,No,0101000020E6100000865AD3BCE3944FC0F38E537424573EC0,""{""""type"""":""""Point"""",""""coordinates"""":[-63.1632,-30.3404]}"""
"Jose Marti,Fotovoltaico,CÓRDOBA,TULUMBA,,No,0101000020E6100000865AD3BCE3944FC0F38E537424573EC0,""{""""type"""":""""Point"""",""""coordinates"""":[-63.1632,-30.3404]}"""
",Fotovoltaico,CÓRDOBA,TULUMBA,Isla Larga,No,0101000020E6100000A301BC0512A44FC0F7065F984C553EC0,""{""""type"""":""""Point"""",""""coordinates"""":[-63.2818,-30.3332]}"""
"Almirante Guillermo Brown,Fotovoltaico,CÓRDOBA,TULUMBA,,No,0101000020E6100000A301BC0512A44FC0F7065F984C553EC0,""{""""type"""":""""Point"""",""""coordinates"""":[-63.2818,-30.3332]}"""
",Fotovoltaico,CÓRDOBA,TOTORAL,Tintitaco,No,0101000020E610000021B0726891E54FC04703780B24B83EC0,""{""""type"""":""""Point"""",""""coordinates"""":[-63.7935,-30.7193]}"""
",Fotovoltaico,CÓRDOBA,TOTORAL,Tintitaco,No,0101000020E6100000A5BA46EC8FE54FC030F1AA7B22B83EC0,""{""""type"""":""""Point"""",""""coordinates"""":[-63.79345468,-30.71927617]}"""
"Jose Ingenieros,Fotovoltaico,CÓRDOBA,TOTORAL,,No,0101000020E610000021B0726891E54FC04703780B24B83EC0,""{""""type"""":""""Point"""",""""coordinates"""":[-63.7935,-30.7193]}"""
"Jose Ingenieros,Fotovoltaico,CÓRDOBA,TOTORAL,,No,0101000020E6100000A5BA46EC8FE54FC030F1AA7B22B83EC0,""{""""type"""":""""Point"""",""""coordinates"""":[-63.79345468,-30.71927617]}"""
",Fotovoltaico,CÓRDOBA,ISCHILIN,Orco Suni,No,0101000020E6100000A54E4013611350C004560E2DB22D3EC0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.3028,-30.1785]}"""
",Fotovoltaico,CÓRDOBA,SOBREMONTE,La Providencia,No,0101000020E61000001AC05B20410150C0068195438BFC3DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.0196,-29.9865]}"""
"Teniente General Eduardo Lonardi,Fotovoltaico,CÓRDOBA,SOBREMONTE,,No,0101000020E61000001AC05B20410150C0068195438BFC3DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.0196,-29.9865]}"""
",Fotovoltaico,CÓRDOBA,TULUMBA,Socavones,No,0101000020E61000007CF2B0506B0250C06F8104C58F413EC0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.0378,-30.2561]}"""
"General Las Heras,Fotovoltaico,CÓRDOBA,TULUMBA,,No,0101000020E61000007CF2B0506B0250C06F8104C58F413EC0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.0378,-30.2561]}"""
",Fotovoltaico,CÓRDOBA,TULUMBA,Las Juntas,No,0101000020E610000096438B6CE70350C05839B4C8764E3EC0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.061,-30.3065]}"""
"Gendarme Raul Cuello,Fotovoltaico,CÓRDOBA,TULUMBA,,No,0101000020E610000096438B6CE70350C05839B4C8764E3EC0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.061,-30.3065]}"""
",Fotovoltaico,CÓRDOBA,TULUMBA,La Canada,No,0101000020E6100000EF384547720550C0933A014D843D3EC0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.0851,-30.2403]}"""
"Manuel Dorrego,Fotovoltaico,CÓRDOBA,TULUMBA,,No,0101000020E6100000EF384547720550C0933A014D843D3EC0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.0851,-30.2403]}"""
",Fotovoltaico,CÓRDOBA,TERCERO ARRIBA,Banda Sud,No,0101000020E6100000B98D06F0161050C04694F6065F2040C0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.2514,-32.2529]}"""
",Fotovoltaico,CÓRDOBA,TERCERO ARRIBA,Banda Sud,No,0101000020E6100000C1ED9E76171050C06A71BEBF5E2040C0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.25143209,-32.25289151]}"""
"Maria Luisa Pellegrini Gomez De Ballesteros Barros,Fotovoltaico,CÓRDOBA,TERCERO ARRIBA,,No,0101000020E6100000B98D06F0161050C04694F6065F2040C0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.2514,-32.2529]}"""
"Maria Luisa Pellegrini Gomez De Ballesteros Barros,Fotovoltaico,CÓRDOBA,TERCERO ARRIBA,,No,0101000020E6100000C1ED9E76171050C06A71BEBF5E2040C0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.25143209,-32.25289151]}"""
",Fotovoltaico,CÓRDOBA,TERCERO ARRIBA,Salto Norte,No,0101000020E6100000273108AC1C0E50C07DD0B359F51140C0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.2205,-32.1403]}"""
"Paula Albarracin,Fotovoltaico,CÓRDOBA,TERCERO ARRIBA,,No,0101000020E6100000273108AC1C0E50C07DD0B359F51140C0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.2205,-32.1403]}"""
"Paul Harris,Fotovoltaico,CÓRDOBA,TULUMBA,,No,0101000020E6100000A54E4013611350C004560E2DB22D3EC0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.3028,-30.1785]}"""
",Fotovoltaico,CÓRDOBA,TULUMBA,El Barrial,No,0101000020E6100000A913D044D81450C0302AA913D0543EC0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.3257,-30.3313]}"""
"Delicia Andrea Herrera Oliva De Sosa,Fotovoltaico,CÓRDOBA,TULUMBA,,No,0101000020E6100000A913D044D81450C0302AA913D0543EC0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.3257,-30.3313]}"""
"Alfonsina Storni,Fotovoltaico,CÓRDOBA,SOBREMONTE,,No,0101000020E6100000894160E5D01250C0EEEBC039237A3DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.294,-29.4771]}"""
",Fotovoltaico,CÓRDOBA,RIO CUARTO,El Cano,No,0101000020E61000009D11A5BDC12750C041F163CC5D1340C0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.6212,-32.1513]}"""
",Fotovoltaico,CÓRDOBA,RIO CUARTO,Las Penas,No,0101000020E6100000FED478E9261150C0B6F3FDD4783140C0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.268,-32.3865]}"""
"Remedios Escalada De San Martin,Fotovoltaico,CÓRDOBA,RIO CUARTO,,No,0101000020E6100000FED478E9261150C0B6F3FDD4783140C0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.268,-32.3865]}"""
",Fotovoltaico,CÓRDOBA,TULUMBA,El Durazno,No,0101000020E6100000371AC05B200950C0D881734694463EC0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.1426,-30.2757]}"""
"Granadero Marquez,Fotovoltaico,CÓRDOBA,TULUMBA,,No,0101000020E6100000371AC05B200950C0D881734694463EC0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.1426,-30.2757]}"""
",Fotovoltaico,CÓRDOBA,SANTA MARIA,Las Playas,No,0101000020E61000003C4ED1915C0A50C023DBF97E6AAC3FC0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.1619,-31.6735]}"""
"9 De Julio,Fotovoltaico,CÓRDOBA,SAN JAVIER,,No,0101000020E610000063EE5A423E4050C0CEAACFD5561440C0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.0038,-32.1589]}"""
"Jose Cenobio Cortes (Ex-Esc.Nac.N 385),Fotovoltaico,CÓRDOBA,SANTA MARIA,,No,0101000020E61000003C4ED1915C0A50C023DBF97E6AAC3FC0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.1619,-31.6735]}"""
",Fotovoltaico,CÓRDOBA,CRUZ DEL EJE,Los Charcos,No,0101000020E6100000355EBA490C4A50C017D9CEF753833EC0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.157,-30.513]}"""
"Juan Jose Paso,Fotovoltaico,CÓRDOBA,CRUZ DEL EJE,,No,0101000020E6100000355EBA490C4A50C017D9CEF753833EC0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.157,-30.513]}"""
",Fotovoltaico,CÓRDOBA,RIO CUARTO,Campo La Aguada,No,0101000020E61000002B1895D4092850C07E1D3867448140C0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.6256,-33.0099]}"""
"San Isidro Labrador,Fotovoltaico,CÓRDOBA,RIO CUARTO,,No,0101000020E61000002B1895D4092850C07E1D3867448140C0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.6256,-33.0099]}"""
",Fotovoltaico,CÓRDOBA,RIO CUARTO,Colonia La Argentina,No,0101000020E6100000B4C876BE9F1A50C001DE02098A1741C0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.416,-34.1839]}"""
",Fotovoltaico,CÓRDOBA,GENERAL ROCA,La Nacional,No,0101000020E61000000A68226C783A50C037894160E56041C0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.9136,-34.757]}"""
"Doctor Mariano Moreno,Fotovoltaico,CÓRDOBA,GENERAL ROCA,,No,0101000020E61000000A68226C783A50C037894160E56041C0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.9136,-34.757]}"""
",Fotovoltaico,CÓRDOBA,GENERAL ROCA,Los Alfalfares,No,0101000020E610000052B81E85EB2D50C0560E2DB29D6741C0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.7175,-34.8095]}"""
"Gabriela Mistral,Fotovoltaico,CÓRDOBA,GENERAL ROCA,,No,0101000020E610000052B81E85EB2D50C0560E2DB29D6741C0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.7175,-34.8095]}"""
",Fotovoltaico,CÓRDOBA,CALAMUCHITA,Paraje Pintos,No,0101000020E61000001EA7E8482E2750C092CB7F48BF3540C0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.6122,-32.4199]}"""
"25 De Mayo,Fotovoltaico,CÓRDOBA,PUNILLA,,No,0101000020E61000001EA7E8482E2750C092CB7F48BF3540C0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.6122,-32.4199]}"""
"Ricardo Rojas,Fotovoltaico,CÓRDOBA,RIO CUARTO,,No,0101000020E61000009D11A5BDC12750C041F163CC5D1340C0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.6212,-32.1513]}"""
",Fotovoltaico,CÓRDOBA,CALAMUCHITA,La Dormida,No,0101000020E61000005D6DC5FEB21B50C0BC749318042E40C0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.4328,-32.3595]}"""
"Jeronimo Luis De Cabrera,Fotovoltaico,CÓRDOBA,CALAMUCHITA,,No,0101000020E61000005D6DC5FEB21B50C0BC749318042E40C0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.4328,-32.3595]}"""
",Fotovoltaico,CÓRDOBA,POCHO,Los Medanitos,No,0101000020E6100000A60A4625756250C0DC4603780B943FC0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.5384,-31.5783]}"""
",Fotovoltaico,CÓRDOBA,POCHO,Los Quebrachitos,No,0101000020E6100000F0A7C64B375D50C062105839B4983FC0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.4565,-31.5965]}"""
",Fotovoltaico,CÓRDOBA,POCHO,La Patria,No,0101000020E610000007F01648506050C0BF0E9C33A2843FC0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.5049,-31.5181]}"""
",Fotovoltaico,CÓRDOBA,POCHO,San Tiburcio,No,0101000020E61000004A0C022B875E50C060E5D022DBA93FC0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.477,-31.6635]}"""
",Fotovoltaico,CÓRDOBA,POCHO,El Quemado,No,0101000020E610000055C1A8A44E6050C0713D0AD7A3703FC0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.5048,-31.44]}"""
",Fotovoltaico,CÓRDOBA,POCHO,El Banado,No,0101000020E6100000E02D90A0F85D50C0A01A2FDD24763FC0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.4683,-31.4615]}"""
"Blas Parera,Fotovoltaico,CÓRDOBA,POCHO,,No,0101000020E6100000A60A4625756250C0DC4603780B943FC0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.5384,-31.5783]}"""
"Domingo Faustino Sarmiento,Fotovoltaico,CÓRDOBA,POCHO,,No,0101000020E610000055C1A8A44E6050C0713D0AD7A3703FC0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.5048,-31.44]}"""
"Fray Mamerto Esquiu,Fotovoltaico,CÓRDOBA,POCHO,,No,0101000020E61000004A0C022B875E50C060E5D022DBA93FC0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.477,-31.6635]}"""
"Jose Manuel Estrada,Fotovoltaico,CÓRDOBA,POCHO,,No,0101000020E6100000F0A7C64B375D50C062105839B4983FC0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.4565,-31.5965]}"""
"Luis Felipe Del Rosario Penenory,Fotovoltaico,CÓRDOBA,POCHO,,No,0101000020E610000007F01648506050C0BF0E9C33A2843FC0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.5049,-31.5181]}"""
"Perito Moreno,Fotovoltaico,CÓRDOBA,POCHO,,No,0101000020E6100000E02D90A0F85D50C0A01A2FDD24763FC0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.4683,-31.4615]}"""
",Fotovoltaico,CÓRDOBA,MINAS,Pinas,No,0101000020E6100000DAACFA5C6D6150C0226C787AA52C3FC0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.5223,-31.1744]}"""
"Lisandro De La Torre,Fotovoltaico,CÓRDOBA,MINAS,,No,0101000020E6100000DAACFA5C6D6150C0226C787AA52C3FC0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.5223,-31.1744]}"""
",Fotovoltaico,CÓRDOBA,POCHO,Los Molles,No,0101000020E610000017B7D100DE5650C09A779CA223793FC0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.3573,-31.4732]}"""
",Fotovoltaico,CÓRDOBA,POCHO,El Medanito,No,0101000020E61000003108AC1C5A5850C014D044D8F0943FC0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.3805,-31.5818]}"""
"Diego De Funes,Fotovoltaico,CÓRDOBA,POCHO,,No,0101000020E610000017B7D100DE5650C09A779CA223793FC0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.3573,-31.4732]}"""
"Remedios De Escalada De San Martin,Fotovoltaico,CÓRDOBA,POCHO,,No,0101000020E61000003108AC1C5A5850C014D044D8F0943FC0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.3805,-31.5818]}"""
",Fotovoltaico,CÓRDOBA,SAN ALBERTO,La Cortadera,No,0101000020E6100000A301BC05125850C0B459F5B9DAAA3FC0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.3761,-31.6674]}"""
",Fotovoltaico,CÓRDOBA,SAN ALBERTO,San Miguel,No,0101000020E6100000F46C567DAE5A50C0158C4AEA04C43FC0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.4169,-31.7657]}"""
"Mario Remorino,Fotovoltaico,CÓRDOBA,SAN ALBERTO,,No,0101000020E6100000A301BC05125850C0B459F5B9DAAA3FC0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.3761,-31.6674]}"""
"Presidente Julio Argentino Roca,Fotovoltaico,CÓRDOBA,SAN ALBERTO,,No,0101000020E6100000F46C567DAE5A50C0158C4AEA04C43FC0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.4169,-31.7657]}"""
",Fotovoltaico,CÓRDOBA,SAN ALBERTO,Banado de Paja,No,0101000020E61000007FD93D79585050C02AA913D044D83FC0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.2554,-31.8448]}"""
"Juana Azurduy De Padilla,Fotovoltaico,CÓRDOBA,SAN ALBERTO,,No,0101000020E61000007FD93D79585050C02AA913D044D83FC0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.2554,-31.8448]}"""
",Fotovoltaico,CÓRDOBA,SAN JAVIER,El Salto,No,0101000020E61000009FABADD85F4E50C01AC05B20411940C0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.2246,-32.1973]}"""
